"census.tract","priority"
"074800",-0.0545392104
"075000",-0.0938765541
"075200",0.1364300494
"075400",-0.1108825099
"075600",-0.1220986957
"076000",-0.274624201
"076200",-0.100438135
"076400",-0.7563230758
"076600",-0.7130657675
"077000",-0.1311343021
"077200",-0.0237868433
"077400",0.0984893822
"077600",-0.0379776626
"078000",0.1432183204
"078200",0.1938201753
"078400",0.2230403771
"078600",-0.1484173487
"078800",0.0524239448
"079000",0.3726206325
"079200",0.6328363161
"079400",0.6608526613
"080000",0.2107389598
"080200",0.2646649841
"080400",0.3458313047
"080600",0.2464914483
"035200",0.6985503435
"035300",-0.2996427037
"035400",-0.7569475654
"035500",0.2382707622
"035700",0.3678140067
"035900",-0.1806975598
"036001",0.4069929042
"036002",-0.4985139642
"036100",0.498969878
"036200",0.2729559988
"036300",0.4906074027
"036400",0.2919999046
"036501",0.3787508713
"036502",0.51299169
"036600",0.1904666076
"036700",0.6099954312
"036900",0.256788332
"037000",0.2042092798
"037100",0.2775241408
"037300",0.3791883928
"037500",0.4701500903
"037700",0.0550031532
"056500",0.4899552197
"056600",0.0295435066
"056800",-0.0847487735
"056900",0.2757961645
"057000",-0.0665554616
"057100",0.3005799522
"057200",-0.6693871816
"057300",0.5877962501
"057400",-0.0863895647
"057500",0.534949237
"057600",0.0759984983
"057800",0.233101597
"057900",0.1693769522
"058000",0.4252144977
"058200",0.2827460813
"058400",0.4378207767
"058600",0.070800262
"058800",0.2903959069
"058900",0.7217347301
"059000",0.150847907
"059100",0.3802492928
"059200",-0.0214951499
"059300",0.3585802537
"059401",-0.0158046302
"059402",-0.1214558702
"002200",0.5550305093
"002300",0.2532322507
"002901",-0.8342483726
"003000",0.2443324381
"003100",0.0097355422
"003300",-0.124436251
"003400",0.0532560108
"003500",-0.4368574872
"003600",-0.1455211147
"003700",0.6296732525
"003800",-0.5806954887
"003900",-0.271336325
"004100",-0.3770601298
"004300",-0.3193027959
"004500",-0.0549495299
"004700",0.718647065
"060600",0.3121648699
"004900",-0.0739514231
"005000",-0.221145744
"005100",0.5351433392
"005201",0.1224307453
"005202",0.0799987284
"005400",0.135746802
"021900",0.039896386
"022000",0.4858039152
"022100",0.173365762
"022200",0.3979171942
"022400",0.5110999289
"022600",0.3351383855
"022700",1.3532306078
"022800",0.1025921969
"022900",0.4382461541
"023000",0.1889866647
"023100",0.2994491172
"023200",0.0856591022
"023300",0.2484180748
"023400",0.2319914791
"023500",0.1041599242
"023600",0.1435776284
"023800",0.1791004877
"024000",0.3026671647
"024100",0.9251463606
"024200",0.2948705428
"024300",0.3628905986
"024400",0.2718791638
"024500",0.5867226329
"024600",0.4633031218
"024700",0.1491118955
"024800",0.5243869911
"024900",0.4621494316
"099800",-0.3329347578
"100400",-0.1623780368
"100600",-0.0785298291
"100800",0.017957671
"101000",0.0101090656
"101200",-0.5569729025
"101400",-0.8478196323
"101600",-0.4034039105
"101800",-0.4228662984
"102000",-0.3880339424
"102200",-0.259245453
"102400",-0.1242899901
"102600",-0.5429466454
"102800",-0.0825228412
"103400",-0.3552232629
"107000",0.4398589271
"107800",0.3218964584
"109800",0.3065650392
"110600",0.0544860141
"111000",-0.8917942849
"111800",0.2925233728
"112000",-0.0229214812
"112200",0.2216514747
"112400",0.0705426558
"081000",0.2567038509
"081400",0.3612440967
"081600",0.3395811867
"081800",0.4532049635
"114400",0.5215260142
"011900",0.7968432834
"015200",0.2136919192
"016600",0.2763721454
"021100",0.1721366214
"048500",0.4857147421
"056100",0.5275058962
"062000",-0.4671085357
"080800",0.3371729064
"092400",0.1788180716
"093200",0.4284741286
"110400",0.175739137
"111600",0.1799308073
"123700",0.506614903
"150200",0.0537992567
"004400",-0.0697197192
"005300",1.3408704409
"037900",0.168141538
"038100",0.0303598038
"038200",0.3684598648
"038300",-0.0988068112
"038500",0.3294264382
"038600",0.3433911862
"038700",0.1691748693
"038800",0.3580678711
"038900",0.6820251641
"039000",0.0328616652
"039100",0.1676145342
"039200",0.0727988395
"039300",0.664047858
"039400",-0.0981146452
"039500",0.3342514774
"039600",0.1748103875
"039700",0.3937565213
"039800",0.4024666028
"039900",0.4119149159
"040000",0.386068683
"040100",0.2687844466
"040200",0.538176816
"040300",0.4521617783
"059600",-0.040905943
"059800",-0.3401716128
"119000",0.4169483524
"060000",-0.0021751477
"066000",-0.1653747065
"005601",0.2269275811
"005602",0.3615670685
"005800",0.3232792301
"005900",0.8240155333
"006000",0.1384893622
"006200",0.2040184057
"006300",0.5217435015
"006400",0.1229885672
"006500",0.3613593888
"006600",0.0454396419
"006700",-0.1069022797
"006800",0.1258960422
"006900",-0.3978944905
"007000",0.1841121863
"007100",-1.0056626078
"007200",0.4092071015
"007400",0.4136771768
"007500",0.2658176968
"007600",0.346884839
"007700",0.3042885327
"007800",0.3329747394
"008000",0.4996010283
"008200",0.4250389216
"008400",0.8876432302
"008500",0.266744093
"025000",0.5858967121
"025100",0.0746519871
"025200",0.3918124064
"025300",0.5532123635
"025400",0.484276355
"025500",0.1163512749
"025600",0.2805515127
"025700",0.2246304414
"025800",0.1544958666
"025901",0.3232659586
"025902",0.2415066953
"026000",0.485743241
"026100",0.2666890614
"026200",0.5884147253
"026300",0.7086574374
"026400",0.5256163899
"026500",0.1497668599
"026600",0.2683359138
"026700",0.0993884988
"026800",0.1550046821
"026900",0.3649978038
"027000",0.3232497078
"027200",0.4161226075
"027300",0.0714715883
"027400",0.5181602481
"027500",0.2556455741
"027600",0.5151688014
"027700",-0.3726526095
"112600",0.2548527561
"112800",0.1933181704
"113000",0.2654057245
"113200",0.372773166
"113400",-0.3654258533
"114201",0.4562323611
"114202",0.2527901624
"114600",0.2810848488
"115000",0.3163825016
"115200",-0.0435196047
"115600",-0.018292946
"115800",0.2999893579
"116000",-0.1224848371
"116200",0.0674611912
"116400",0.3924084969
"116600",0.5311644663
"116800",0.4724034322
"117000",0.1927162794
"117201",0.1005441582
"117202",0.3483512307
"117400",0.1299502748
"117601",0.2407848892
"117602",0.3884343369
"117800",0.4511361534
"118000",0
"012600",-0.1333712095
"027100",0.2783581261
"030500",0.370812571
"034800",0.3514274159
"044900",0.3127027236
"046000",-0.2782991984
"076800",0.126620962
"094600",0.1619101313
"105804",-0.5208710479
"119800",0.5995316741
"152200",-0.1324752415
"000501",-0.2392328571
"000502",-0.5786665627
"001500",-0.1000953348
"035601",-0.9618707382
"035602",-0.6500495664
"037401",0.3307550802
"037402",-0.1015878613
"050801",-0.1632896659
"050803",-0.0786109032
"050804",-0.2136585605
"051001",-0.8701066645
"028200",0.3935339726
"028300",0.2994590187
"028400",0.7194299603
"028501",0.1421905621
"028502",0.2355609526
"028600",0.3861067564
"028700",0.056534199
"028800",0.673125088
"028900",0.1394618172
"029000",0.4859974138
"029100",0.013104961
"029200",0.5247693726
"029300",-0.3010298955
"029400",0.5975711952
"029500",0.0612020488
"029600",0.6419852558
"029700",0.0702848675
"029800",0.7864632185
"029900",-0.1898643475
"030000",0.4836341482
"030100",0.6547402062
"030200",0.5275546981
"030300",0.3607085851
"030400",0.376583141
"030600",0.3218285106
"030700",0.1739596976
"030800",0.0632091175
"030900",-0.3057942255
"031100",-0.1219206358
"031300",0.0591026185
"031400",0.3876177318
"040400",0.537234123
"040500",0.7203621907
"040600",0.1776092655
"040700",0
"040800",0.3331339121
"040900",0.4812680317
"041000",0.4197000332
"041100",0.3076344639
"041200",0.5290042673
"041300",0.329058319
"041401",-0.056643481
"041402",-0.3345351566
"041500",0.0473415884
"041600",0.0650974119
"041700",0.0121751299
"041800",0.0262280695
"041900",0.1836004077
"049300",-0.0075659722
"049400",-0.490843161
"049500",0.8510825928
"049600",0.1678438609
"049700",0.4828112019
"049800",0.0619384274
"049900",0.499181774
"050000",-0.2100689018
"050100",0.8759207843
"050202",-0.0886596935
"066200",0.2873150156
"067000",0.0142963119
"042000",0.4508775127
"042100",0.354462752
"042200",0.0215163074
"042300",0.6335970286
"042400",0.3594818094
"042500",0.3523861499
"042600",0.5589614326
"042700",0.3071579817
"042800",0.483415591
"042900",0.238255287
"043000",0.5666811372
"043100",0.2724280171
"043200",0.5125085305
"043300",0.4857765569
"043400",0.4924473672
"043500",0.8249114545
"043600",0.5586361923
"043700",0.59604148
"043800",0.0549887627
"043900",0.9751961103
"044000",-0.3248483406
"044100",0.2950244929
"044200",-0.0290256346
"044300",0.1375996563
"008600",0.9801295207
"008800",0.2452453427
"009000",-0.2331696228
"009200",-0.1145239599
"009400",0.0789446381
