"tree_name","bronx","brooklyn","manhattan","queens","staten_island"
"Prunus cerasifera 'Thundercloud'","0.5%","0.6%","0.5%","1.0%","1.0%"
"Prunus 'Okame'","0.9%","0.5%","0.0%","0.7%","1.0%"
"Prunus 'Royal Burgundy'","0.0%","0.0%","0.0%","0.4%","0.5%"
"Prunus sargentii","0.0%","0.0%","0.0%","1.0%","0.5%"
"Prunus sargentii 'Columnaris'","0.0%","0.5%","0.0%","0.2%","0.8%"
"Prunus serotina","0.0%","0.0%","0.0%","0.0%","0.0%"
"Prunus serrulata 'Kwanzan'","0.5%","1.5%","0.5%","2.0%","2.5%"
"Prunus 'Snow Goose'","0.0%","0.0%","0.0%","1.0%","1.0%"
"Prunus subhirtella 'Autumnalis'","0.2%","0.5%","0.0%","0.7%","0.6%"
"Prunus virginiana 'Canada Red'","1.2%","1.7%","0.7%","2.0%","1.5%"
"Prunus x yedoensis 'Akebono'","1.2%","0.4%","0.5%","1.1%","0.8%"
"Pyrus calleryana 'Aristocrat'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Pyrus calleryana 'Chanticleer'","0.5%","0.4%","0.7%","0.8%","0.0%"
"Pyrus calleryana 'Silver Ball'","0.0%","0.0%","0.0%","0.5%","0.5%"
"Quercus acutissima","2.1%","1.5%","0.8%","1.4%","0.8%"
"Quercus alba","1.2%","0.8%","0.8%","0.8%","0.8%"
"Quercus bicolor","1.8%","2.4%","1.8%","1.4%","1.6%"
"Quercus coccinea","0.5%","0.0%","0.4%","0.0%","0.0%"
"Quercus dentata","0.6%","0.6%","0.4%","0.7%","0.0%"
"Quercus imbricaria","0.0%","0.0%","1.1%","0.0%","0.0%"
"Quercus macrocarpa","1.2%","0.8%","0.8%","0.8%","0.5%"
"Quercus muhelnbergia","1.4%","0.8%","0.5%","1.0%","0.5%"
"Quercus palustris","2.1%","2.7%","4.1%","2.9%","3.0%"
"Quercus phellos","2.4%","1.5%","3.0%","2.8%","2.1%"
"Quercus prinus","0.0%","0.0%","0.5%","0.0%","0.0%"
"Quercus robur","1.7%","1.1%","2.1%","1.4%","0.8%"
"Quercus robur var. Fastigiata","0.2%","0.2%","0.0%","0.0%","0.0%"
"Quercus rubra","0.5%","0.8%","0.7%","0.8%","0.4%"
"Quercus shumardii","0.0%","0.0%","0.5%","0.0%","0.0%"
"Quercus texana","0.5%","0.6%","0.5%","0.4%","0.0%"
"Quercus velutina","0.0%","0.0%","0.5%","0.0%","0.0%"
"Robinia pseudoacacia 'Frisia'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Robinia pseudoacacia 'Purple Robe'","0.3%","0.3%","0.0%","0.2%","0.0%"
"Stewartia koreana","0.3%","0.4%","0.0%","0.2%","0.6%"
"Styphnolobium japonicum 'Regent'","2.5%","2.5%","4.5%","2.5%","1.7%"
"Styrax japonica","0.0%","0.5%","0.0%","0.0%","0.8%"
"Styrax obbasia","0.0%","0.0%","0.0%","0.0%","0.8%"
"Syringa 'China Snow'","0.0%","0.0%","0.0%","0.0%","0.8%"
"Syringa reticulata 'Ivory Silk'","1.9%","2.9%","0.6%","2.9%","3.8%"
"Taxodium distichum","0.0%","0.0%","0.0%","0.0%","0.0%"
"Taxodium distichum 'Shawnee Brave'","1.9%","3.8%","3.5%","1.0%","3.4%"
"Tilia americana 'Redmond'","1.9%","2.7%","3.9%","3.9%","2.2%"
"Tilia cordata 'Glenlevyn'","0.8%","0.4%","0.7%","0.5%","0.4%"
"Tilia mongolica 'Harvest Gold'","0.4%","0.0%","0.0%","0.0%","0.5%"
"Tilia tomentosa 'Green Mountain'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Tilia tomentosa 'Sterling'","2.3%","1.7%","3.5%","4.1%","2.2%"
"Tilia x euchlora 'Laurelhurst'","1.4%","2.7%","3.5%","1.9%","1.0%"
"Ulmus 'Accolade'","1.0%","0.9%","1.1%","0.7%","0.4%"
"Ulmus americana","0.0%","0.0%","0.0%","0.0%","0.0%"
"Ulmus parvifolia 'Allee'","0.7%","0.7%","1.0%","0.5%","0.4%"
"Zelkova serrata 'Green Vase'","6.8%","6.8%","7.0%","5.5%","3.0%"
"Zelkova serrata 'Mushashino'","1.2%","1.0%","0.9%","0.7%","0.5%"
"Zelkova serrata 'Wireless'","0.8%","1.1%","0.0%","0.5%","0.8%"
